Chain Name,Hash,Status,Action,Token,Value,From,From Info,To,To Info
Ethereum,0x0x3b9d52299cfa6d0632a3e657d4b0c03cd99827687b530629c8859be03c8ce235,Success,Transfer,ERC-20: Vita Inu,,0x92f1752f880cbfdf6f868bd078d540b4f8990f80,Address,0x23d5c7187998836c0a8b8b15bee35401ce3399f5,Address
Ethereum,0x0xb826c0360967c08822d0644bfce33d41f282c0f412bee651fc23ac4256c6ff1f,Success,Multicall,ERC-20: Vita Inu,,0x111117c5c0a3a28efe871fea13dc093909d11111,Address,0x000000000004444c5dc75cb358380d2e3de08a90,Uniswap V4: Pool Manager
Ethereum,0x0x9c4067c5fb3c4e8901ffd096830b3469a183bb6a9a32d362c6854d273fda5284,Success,Transfer,ERC-20: Vita Inu,,0xa6a87d903a479c8630c6de6ece4a598c1be84100,Address,0xc0edfd705a6684e51f7d62f58d1b2d816eca2892,Address
Ethereum,0x0xa25c532343140e94ed23ef9567690bb0a2c717f913f2a66d9521e5dd6c4cc531,Success,Swap,ERC-20: Vita Inu,,0x63242a4ea82847b20e506b63b0e2e2eff0cc6cb0,KyberSwap: Aggregator Executor V3,0x0a6144fa659526949998e9e861984d9868a0f6ab,Address
Ethereum,0x0xa25c532343140e94ed23ef9567690bb0a2c717f913f2a66d9521e5dd6c4cc531,Success,Swap,ERC-20: Vita Inu,,0x000000000004444c5dc75cb358380d2e3de08a90,Uniswap V4: Pool Manager,0x63242a4ea82847b20e506b63b0e2e2eff0cc6cb0,KyberSwap: Aggregator Executor V3
Ethereum,0x0x80fcd1af573f65ebb333eeae6f1980c9e71732fbb415a69a9d709b2d126d4fc7,Success,Swap,ERC-20: Vita Inu,,0x63242a4ea82847b20e506b63b0e2e2eff0cc6cb0,KyberSwap: Aggregator Executor V3,0x111117c5c0a3a28efe871fea13dc093909d11111,Address
Ethereum,0x0x80fcd1af573f65ebb333eeae6f1980c9e71732fbb415a69a9d709b2d126d4fc7,Success,Swap,ERC-20: Vita Inu,,0x000000000004444c5dc75cb358380d2e3de08a90,Uniswap V4: Pool Manager,0x63242a4ea82847b20e506b63b0e2e2eff0cc6cb0,KyberSwap: Aggregator Executor V3
Ethereum,0x0xf5269e2429877b505a2c549fa01f5c550f22cfe396f1ca73d0275a75e624ed18,Success,0x810c705b,ERC-20: Vita Inu,,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,LI.FI: LiFi Diamond,0x098fcd65b4c5b07f673ecacc788af58cf290ac5c,Address
Ethereum,0x0xf5269e2429877b505a2c549fa01f5c550f22cfe396f1ca73d0275a75e624ed18,Success,0x810c705b,ERC-20: Vita Inu,,0xc10ee9031f2a0b84766a86b55a8d90f357910fb4,Contract,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,LI.FI: LiFi Diamond
Ethereum,0x0xf5269e2429877b505a2c549fa01f5c550f22cfe396f1ca73d0275a75e624ed18,Success,0x810c705b,ERC-20: Vita Inu,,0xc10ee9031f2a0b84766a86b55a8d90f357910fb4,Contract,0xde7259893af7cdbc9fd806c6ba61d22d581d5667,Contract
