Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD)
"0xbfaf7cc610eee3f881da780dc042397c62da2671e26220403e1258824d28b3bc","Success","Transfer","74803952","2026-01-11 04:21:36","0xc3121c4CA7402922E025E62E9bb4d5b244303878","","0xfEbe8C1eD424DbF688551D4E2267e7A53698F0aa","Vita Inu: VINU Token","19,064,792,053.48572","$75.57",""
"0x766897b13d1fbbbe879adaa660385067ef67c660fd143c8fc44759441fa923e9","Success","Transfer","74268404","2026-01-06 12:46:29","0xF266E142aA55B33cb6AEF4e3b3C15E74aC3F9D34","","0xfEbe8C1eD424DbF688551D4E2267e7A53698F0aa","Vita Inu: VINU Token","75,055,509.78578954864277412","$0.30",""
"0xb57c3612d48bd569d5bd3da1aa2f170367e1c577a5e71f5bdc4ae20d0f83bb15","Success","Transfer","69173057","2025-11-23 06:58:40","0x2f320677FC3f36Fbfd4d9b13817f7b4147F8f913","","0xfEbe8C1eD424DbF688551D4E2267e7A53698F0aa","Vita Inu: VINU Token","11,144,446,192.45849242858217368","$44.17",""
"0x7eb4230794209779824e16da42359f09007527a1baa48a8dcf2b3480192366c0","Success","Transfer","64279049","2025-10-11 18:52:31","0x0e5886AD60c1A9d979a290479984954Ee36aF81e","","0xfEbe8C1eD424DbF688551D4E2267e7A53698F0aa","Vita Inu: VINU Token","10,000,000","$0.04",""
"0x18f25449f3c209df2780d23c02f979b96c804267ae5bf4f07a6cb704e038b6c7","Success","Transfer","61966665","2025-09-21 16:57:49","0x3D3E77C6A3fb11E13c5b4ac835EB4234907D8C83","","0xfEbe8C1eD424DbF688551D4E2267e7A53698F0aa","Vita Inu: VINU Token","4,051,933,741.717618949575387924","$16.06",""
"0xc5e4444ad4606840a5876a8597517fa798c8cebb137f8a1059ac07b1e5cc2766","Success","Transfer","61964493","2025-09-21 16:30:40","0xB22C6f1d015A6B3934670BA7dfE56D0460A73005","","0xfEbe8C1eD424DbF688551D4E2267e7A53698F0aa","Vita Inu: VINU Token","704,667,018.336279353565408295","$2.79",""
"0xc2a86a92067dedb5f2c4d8f726025fdec53c5e95495737491b065dd92e5bf419","Success","Transfer","60436641","2025-09-08 10:06:59","0xc3121c4CA7402922E025E62E9bb4d5b244303878","","0xfEbe8C1eD424DbF688551D4E2267e7A53698F0aa","Vita Inu: VINU Token","306,248,387.590378","$1.21",""
"0x1d9db652b4f2aa4e946f45bd5e5a13bed02951472bd51eb3770e04841628fbec","Success","Transfer","59322711","2025-08-29 17:59:25","0xc3121c4CA7402922E025E62E9bb4d5b244303878","","0xfEbe8C1eD424DbF688551D4E2267e7A53698F0aa","Vita Inu: VINU Token","5,361,247,628.83415","$21.25",""
"0xcbb5784f236dd053d7adbfc0c78374fcbe829d2e767492427f4950b48d2e4572","Success","Transfer","54624730","2025-07-19 23:07:34","0x1a2b96D3D9e72937e15d40665d40d261b76C1A2F","","0xfEbe8C1eD424DbF688551D4E2267e7A53698F0aa","Vita Inu: VINU Token","100,000","$0.00",""
"0xa32b57aff790c75ef1e65bb0ffdc3ad3ee9aa459e929fa95e2228a904da91293","Success","Transfer","54263108","2025-07-16 19:46:48","0xEC40cBA2265C7B2420E4271876fc0863B7D028f7","","0xfEbe8C1eD424DbF688551D4E2267e7A53698F0aa","Vita Inu: VINU Token","20","$0.00",""
"0x8a5b548bf859f7ed976920b53c4bfc45b84a28488f0e7a8d78fbe3259a333f03","Success","Transfer","53309506","2025-07-08 13:05:53","0x1a2b96D3D9e72937e15d40665d40d261b76C1A2F","","0xfEbe8C1eD424DbF688551D4E2267e7A53698F0aa","Vita Inu: VINU Token","10","$0.00",""
"0x587d4e4ad96649415e8dd34a6b31b4cf0a6a5e38f15134b51cbb7aabe36876b1","Success","Transfer","52404388","2025-06-30 16:31:15","0xBe7820189384dC275Ce2E0b079bC4965f53EAC58","","0xfEbe8C1eD424DbF688551D4E2267e7A53698F0aa","Vita Inu: VINU Token","407,887,627.570915937711091641","$1.62",""
"0xf17233432d294f43b6a28a82ec6a84759c75c00e8a2e73c8dc389f7adb014bc5","Success","Transfer","51228292","2025-06-10 20:15:23","0xD06feCf435c1CaD814B92Ddc09880C25424568BD","","0xfEbe8C1eD424DbF688551D4E2267e7A53698F0aa","Vita Inu: VINU Token","53,820.295138759461239615","$0.00",""
